Pro,Link,Con,Link
Second Amendment does not provide for individual gun rights,https://www.thoughtco.com/pros-and-cons-gun-ownership-3325522,Guns deter crime,https://www.quora.com/What-are-the-pros-and-cons-of-gun-control
"""Americans feel less safe as more people in their community being to carry guns,"" and that 90% believe that ""regular"" citizens should be prohibited from bringing guns into most public places,",https://www.thoughtco.com/pros-and-cons-gun-ownership-3325522,"possession of guns will keep the criminals in check; hence, a reduction in crime rate.",https://www.quora.com/What-are-the-pros-and-cons-of-gun-control
"mericans favoring more restrictive gun ownership/use laws believe that such measures will reduce gun-related crime, homicide and suicide in the U.S.",https://www.thoughtco.com/pros-and-cons-gun-ownership-3325522,"The police cannot protect everyone, so we must be self-sufficient and provide our defense.",https://www.quora.com/What-are-the-pros-and-cons-of-gun-control
"the prevailing opinion of Constitutional scholars has been that the Second Amendment does not address private gun ownership rights, but only guarantees the collective right of states to maintain militias.",https://www.thoughtco.com/pros-and-cons-gun-ownership-3325522,Second Amendment gives private gun ownership and use to individuals as a basic civil right to protection from government tyranny,https://www.thoughtco.com/pros-and-cons-gun-ownership-3325522
"Most violent crimes are committed with guns; thus, restricting gun ownership will likely reduce the number of such crimes.",https://www.balancedpolitics.org/gun_control.htm,"Proponents of less restrictive gun laws cite a number of instances in which stringent new laws resulted in a dramatic increase, not decrease, in gun-related crimes and violence.",https://www.thoughtco.com/pros-and-cons-gun-ownership-3325522
"Lunatics, bullied school kids, disgruntled workers, and others can inflict mass casualties with guns that otherwise wouldn't be possible.",https://www.balancedpolitics.org/gun_control.htm,"majority of citizens contend that restrictive gun ownership/use laws impede safe hunting and shooting, which to them are important cultural traditions and popular recreational pursuits.",https://www.thoughtco.com/pros-and-cons-gun-ownership-3325522
A crime victim who has a gun may be in more danger than an unarmed person since the criminal may kill in perceived self-defense.,https://www.balancedpolitics.org/gun_control.htm,"Criminals will always find a way to obtain their guns, leaving law-abiding citizens without any weapons to use in defense.",https://www.balancedpolitics.org/gun_control.htm
"Suicides and crimes of passion are higher with gun availability, as it's much easier to act immediately on your impulses when a gun is available.",https://www.balancedpolitics.org/gun_control.htm,Crimes are often prevented by the deterrent effect of the possibility of victim gun possession.,https://www.balancedpolitics.org/gun_control.htm
"The 2nd Amendment of the Constitution was targeted towards militia, e.g. the National Guard, rather than individuals.",https://www.balancedpolitics.org/gun_control.htm,The 2nd Amendment to the Constitution protects the individual's right to gun ownership.,https://www.balancedpolitics.org/gun_control.htm
Crimes that may have been less harmful can be made more dangerous by adding a gun.,https://www.balancedpolitics.org/gun_control.htm,Guns in the possession of citizens are an added protection against government tyranny.,https://www.balancedpolitics.org/gun_control.htm
"Legalized gun ownership means guns have a greater chance of falling into the hands of kids, potentially resulting in some deadly accidents.",https://www.balancedpolitics.org/gun_control.htm,"Woman and weaker individuals may have no means of self-defense from rape or other crimes, especially in the inner city.",https://www.balancedpolitics.org/gun_control.htm
"Terrorism, school shootings, and other modern circumstances make guns more dangerous nowadays.",https://www.balancedpolitics.org/gun_control.htm,Police are often too overwhelmed to protect all citizens from violent crime.,https://www.balancedpolitics.org/gun_control.htm
"America’s murder and crime rate is awfully high, including 373 people out of 100,000 being the victims of violent crimes, such as rape, homicide, and robbery, and 2,487 people out of 100,000 being the victims of property crimes, such as burglary and vehicle theft, just in 2015 alone. Many people put the blame on guns. Guns are easy to acquire, so virtually anyone can get and use one. Anyone, regardless of their education, status, training, or mental state can acquire guns and hurt or kill others. In addition,these weapons making it easier to rob stores or commit other crimes. Guns were made for violence, and there are few other uses for them.",https://lindynews.org/1434/opinion/pro-con/gun-control-in-america-pros-and-cons/,"Banning guns will create another potentially large source of organized criminal revenue, as a black market for guns will surely develop.",https://www.balancedpolitics.org/gun_control.htm
"Americans that support stricter gun laws may argue that after a mass shooting in Australia in 1996, strict gun laws saved the country.",https://lindynews.org/1434/opinion/pro-con/gun-control-in-america-pros-and-cons/,"Banning guns will take away yet another piece of our liberty, which is one more step to socialism and totalitarianism.",https://www.balancedpolitics.org/gun_control.htm
,,"Reasonable gun control & education steps can be put in place, so an outright ban is unnecessary.",https://www.balancedpolitics.org/gun_control.htm
,,"There is a common belief among those that are against stricter gun laws that people are the only cause of gun violence. Though guns are popular weapons when it comes to hurting others, other things such as cars have been used.",https://lindynews.org/1434/opinion/pro-con/gun-control-in-america-pros-and-cons/
,,"Many gun owners use them for hunting purposes. Whether they sell the animals they hunt or cook and eat them, this activity can help people survive. Other gun owners prefer to own the weapons as a means of self-defense. In case someone attempts to rob the house of one of these people, they might want to own a gun to potentially scare away the criminal. In the worst case scenario, the robber can be shot at and potential injuries that could have occurred to the victim would be avoided.",https://lindynews.org/1434/opinion/pro-con/gun-control-in-america-pros-and-cons/
The US General Accounting Office (GAO) estimated that 100% of deaths per year in which a child under 6 years old shoots and kills him/herself or another child could be prevented by automatic child-proof safety locks.,https://gun-control.procon.org/#didyouknow,"A Pew Foundation report found that 79% of male gun owners and 80% of female gun owners said owning a gun made them feel safer, and 64% of people living in a home in which someone else owns a gun felt safer.",https://gun-control.procon.org/#didyouknow
Five women a day are killed by guns in America. A woman's risk of being murdered increases 500% if a gun is present during a domestic dispute.,https://gun-control.procon.org/#didyouknow,"Mexico has some of the strictest gun control laws in the world and yet, in 2012, Mexico had 11,309 gun murders (9.97 gun homicides per 100,000 people) compared to the United States that had 9,146 gun homicides (2.97 per 100,000 people).",https://gun-control.procon.org/#didyouknow
"Concealed weapons laws make the non-carrying public feel less safe. A Mar. 10, 2014 poll of Illinois citizens concluded that 52.3% of the public felt less safe following the July 2013 passage of a law allowing citizens to carry concealed handguns in public. A July 2013 peer-reviewed study of 1,649 students at 15 colleges published in the Journal of American College Health stated that 79% would not feel safe if faculty, students, and visitors carried concealed weapons on campus. An Apr. 2010 poll of registered voters across the United States found that 57% feel less safe after learning that concealed guns may lawfully be carried in public.",https://concealedguns.procon.org/,"Concealed handguns deter crime.States that implemented ""shall-issue"" concealed carry laws reduced murders by 8.5%, rapes by 5%, aggravated assaults by 7%, and robbery by 3%, according to a 2000 analysis of FBI crime data by economist and political commentator John R. Lott Jr., PhD. Lott calculated that 1,570 murders, 4,177 rapes, 60,000 aggravated assaults, and 12,000 robberies could have been prevented between 1977 and 1992 if concealed carry had been legal in every US state during that time period. In addition, a 2013 peer-reviewed study in Applied Economic Letters, found that between 1980 and 2009, ""states with more restrictive CCW [carrying concealed weapons] laws had gun-related murder rates that were 10% higher."" Detroit Chief of Police Larry Craig said permitted concealed weapons are ""a deterrent,"" and ""Good Americans with CPLs [concealed permit licenses] translates into crime reduction."" A 2013 survey of 15,000 current and retired police officers found that 91.3% support the concealed carry of guns by civilians. ",https://concealedguns.procon.org/
"Public safety should be left to professionally qualified police officers, not private citizens with little or no expert training. Some states, such as Georgia and Maryland, do not require any training before receiving a concealed carry permit. In Alaska, Arizona, Wyoming, and Vermont, a permit is not necessary to carry a concealed gun. In states that do require training, it can be inadequate. For example, while Wisconsin requires that concealed weapons permit holders have training, there is no minimum training time requirement. Mark Schauf, Police Chief of Baraboo, WI, said, ""as police officers, we're required to have training before we get our weapons and a certain number of training hours throughout the year. If we have to be trained, it would only make sense that a person in public would want to be trained, as well.""",https://concealedguns.procon.org/,"Responsible citizens should have the right to arm themselves against criminals with guns.Violent criminals will always have guns. Rather than being victims, concealed handgun carriers have a sense of safety and security, especially when going outside at night or in dangerous areas. According to a 2001 study by the National Opinion Research Center, 59% of people who carry a gun outside the home do so because it makes them feel safer. [56] In Florida, the percentage of concealed handgun permit holders who are female rose from 15% in 2004 to 23% in 2014. One of these female permit holders stated that women ""need to be able to defend their home and defend themselves if they go out. It's just a safety issue."" [58] In addition, a study by criminologist Gary Kleck, PhD, concluded that ""robbery and assault victims who used a gun to resist were less likely to be attacked or to suffer an injury than those who used any other methods of self-protection."" [9] A peer-reviewed study published in the Journal of Criminal Law and Criminology found that when someone draws a concealed gun in self-defense, the criminal retreats 55.5% of the time. [32]",https://concealedguns.procon.org/
"Criminals are more likely to carry a gun if they suspect that victims may also be armed. Felons report that they often carry firearms to deter victims from resisting. According to a survey of incarcerated felons by the Inter-university Consortium for Political and Social Research, 75% reported carrying a gun while committing a crime because ""there's always a chance my victim would be armed.""",https://concealedguns.procon.org/,"The right to carry concealed handguns is guaranteed by the Second Amendment of the US Constitution. The entire Second Amendment states: ""a well regulated Militia being necessary to the security of a free State, the right of the people to keep and bear Arms shall not be infringed."" The federal 7th Circuit Court of Appeals, in the Dec. 11, 2012 case Moore v. Madigan, ruled 2-1 that the Second Amendment's right to bear arms ""must be interpreted to include a right to have a concealed gun in public, to have it ready for use, and to have it for self-defense."" The US 9th Circuit Court of Appeals ruled in Peruta vs. San Diego by a 2-1 vote on Feb. 13, 2014 that the Second Amendment requires states to ""permit some form of concealed carry for self-defense outside the home.""",https://concealedguns.procon.org/
"Concealed carry application requirements and background checks do not prevent dangerous people from acquiring weapons.Between May 2007 and Mar. 11, 2014, 14 law enforcement officers and 622 other people were killed nationally (not in self defense) by private individuals legally allowed to carry concealed handguns. Between 1996 and 2000, the Violence Policy Center states that concealed handgun permit holders in Texas were arrested for weapon-related offenses at a rate 81% higher than the rest of the Texas population. In 2007 the South Florida Sun-Sentinel reviewed a list of concealed gun permit holders in Florida and found that 1,400 had pleaded guilty or no contest to a felony, 216 had outstanding warrants, and 128 had active domestic violence injunctions.",https://concealedguns.procon.org/,"Most adults who carry concealed handguns are law-abiding and do not misuse their firearms.According to a 2000 report by engineering statistician William Sturdevant, in Texas the general public is 5.3 times more likely to be arrested for violent offenses and 14 times more likely to be arrested for non-violent offenses than concealed carry weapon permit holders. [30] An analysis of crime data by Nick Leghorn, blogger at ""The Truth About Guns,"" found that concealed carry permit holders in North Carolina are five times less likely to kill someone than the general public, 5.48 times less likely to commit a violent crime with a firearm, and 6.6 times less likely to drive drunk. [59] The Christian Science Monitorreported that ""the number of incidents in which concealed-gun carriers kill innocent people is a fraction of 1 percent of all gun-related homicides.""",https://concealedguns.procon.org/
"Second Amendment rights have limits. The entire Second Amendment states: ""a well regulated Militia being necessary to the security of a free State, the right of the people to keep and bear Arms shall not be infringed."" It does not mention concealed handguns. [71] US Supreme Court Justice Antonin Scalia wrote in the court's 5-4 majority opinion in District of Columbia v. Heller: ""Like most rights, the right secured by the Second Amendment is not unlimited… the majority of the 19th-century courts to consider the question held that prohibitions on carrying concealed weapons were lawful under the Second Amendment or state analogues."" [70] In May 2014 the US Supreme Court declined to hear Drake v. Jerejian, a case challenging New Jersey's issuance of concealed weapons permits only to citizens who can prove a ""justifiable need.""",https://concealedguns.procon.org/,"Carrying a concealed handgun could help stop a public shooting spree. After the Apr. 20, 1999 Columbine High School massacre, the state of Colorado enacted the 2003 Concealed Carry Act to allow law-abiding citizens the right to carry a concealed weapon. The CATO Institute concluded that this law helped to stop a massacre at the New Life megachurch in Dec. 2007 when a volunteer security guard for the church who was carrying a concealed handgun shot an attacker who had opened fire in the church. According to John R. Lott Jr., PhD, ""when states passed concealed carry laws during the 19 years we studied (1977 to 1995), the number of multiple-victim public shootings declined by 84%. Deaths from these shootings plummeted on average by 90%, injuries by 82%.""",https://concealedguns.procon.org/
"Carrying a concealed handgun increases the chances of a confrontation escalating and turning lethal. A Nov. 2009 peer-reviewed study published in the American Journal of Public Health found that someone carrying a gun for self-defense was 4.5 times more likely to be shot during an assault than an assault victim without a gun. According to the Law Center to Prevent Gun Violence, ""members of the public who carry guns risk escalating everyday disagreements into public shootouts, especially in places where disputes frequently occur—in bars, at sporting events, or in traffic."" For example, on Jan 13, 2014, a retired police officer with a legally concealed handgun shot and killed another man during an argument over text messaging in a movie theater.",https://concealedguns.procon.org/,"Concealed handguns protect people who cannot always rely on police forces for protection. A 2013 research article in the Wall Street Journal reported that the average police response time to an emergency call is 11 minutes, with some responses taking much longer. In Detroit the average response time is 58 minutes. Arizona Sheriff Richard Mack said, ""police do very little to prevent violent crime. We investigate crime after the fact."" In addition, the Supreme Court has ruled more than once that police officers have no legal duty to protect citizens from violent crime.",https://concealedguns.procon.org/
"Permitting concealed handguns increases crime. States that passed ""shall-issue"" laws between 1977 and 2010 had a 2% or more increase in the murder rate, and at least 9% increases in rates of rape, aggravated assault, robbery, auto theft, burglary, and larceny, according to an Aug. 2012 paper published by the National Bureau of Economic Research. A 1995 peer-reviewed study of five urban cities, published in the Journal of Criminal Law and Criminology, concluded that gun homicide rates increased ""on average by 4.5 per 100,000 persons"" following the enactment of ""shall-issue"" laws. A May 2009 peer-reviewed study in con Journal Watch found that ""shall-issue"" laws were associated with increased numbers of aggravated assaults between 1977 and 2006. Los Angeles Police Department Chief Charlie Beck said, ""I have seen far too much gun violence in my lifetime to think that more guns is a solution... a gun is more likely to be used against you than you use a gun in self-defense.""",https://concealedguns.procon.org/,"The majority of Americans support allowing the concealed carry of handguns. According to an Apr. 2012 poll conducted for Thomson Reuters, 75% of Americans support ""laws allowing law-abiding citizens to get a permit to carry a concealed weapon."" A 2013 CBS News and New York Times poll found that 65% of Americans ""oppose a federal law requiring a nationwide ban on people other than law enforcement officers carrying concealed weapons.""",https://concealedguns.procon.org/
